ar-SA	阿拉伯文 (沙烏地阿拉伯)
bg-BG	保加利亞文 (保加利亞)
ca-ES	卡達隆尼亞文 (西班牙卡達隆尼亞)
zh-TW	中文 (繁體，台灣)
cs-CZ	捷克文 (捷克共和國)
da-DK	丹麥文 (丹麥)
de-DE	德文 (德國)
el-GR	希臘文 (希臘)
en-US	英文 (美國)
fi-FI	芬蘭文 (芬蘭)
fr-FR	法文 (法國)
he-IL	希伯來文 (以色列)
hu-HU	匈牙利文 (匈牙利)
is-IS	冰島文 (冰島)
it-IT	義大利文 (義大利)
ja-JP	日文 (日本)
ko-KR	韓文 (韓國)
nl-NL	荷蘭文 (荷蘭)
nb-NO	挪威文、巴克摩 (挪威)
pl-PL	波蘭文 (波蘭)
pt-BR	葡萄牙文 (巴西)
rm-CH	羅曼什語 (瑞士)
ro-RO	羅馬尼亞文 (羅馬尼亞)
ru-RU	俄文 (俄羅斯)
hr-HR	克羅埃西亞文 (克羅埃西亞)
sk-SK	斯洛伐克文 (斯洛伐克)
sq-AL	阿爾巴尼亞文 (阿爾巴尼亞)
sv-SE	瑞典文 (瑞典)
th-TH	泰文 (泰國)
tr-TR	土耳其文 (土耳其)
ur-PK	烏都文 (巴基斯坦)
id-ID	印尼文 (印尼)
uk-UA	烏克蘭文 (烏克蘭)
be-BY	白俄羅斯文 (白俄羅斯)
sl-SI	斯洛維尼亞文 (斯洛維尼亞)
et-EE	愛沙尼亞文 (愛沙尼亞)
lv-LV	拉脫維亞文 (拉脫維亞)
lt-LT	立陶宛文 (立陶宛)
tg-Cyrl-TJ	塔吉克文 (斯拉夫，塔吉克)
fa-IR	波斯文
vi-VN	越南文 (越南)
hy-AM	亞美尼亞文 (亞美尼亞)
az-Latn-AZ	阿澤里文 (拉丁、亞塞拜然)
eu-ES	巴斯克文 (巴斯克)
hsb-DE	上索布語 (德國)
mk-MK	馬其頓文 (馬其頓共和國)
tn-ZA	塞茲瓦納文 (南非)
xh-ZA	科薩語 (南非)
zu-ZA	祖魯語 (南非)
af-ZA	南非荷蘭文 (南非)
ka-GE	喬治亞文 (喬治亞)
fo-FO	法羅文 (法羅群島)
hi-IN	印度文 (印度)
mt-MT	馬爾他文 (馬爾他)
se-NO	北沙米文 (挪威)
ms-MY	馬來文 (馬來西亞)
kk-KZ	哈薩克文 (哈薩克)
ky-KG	吉爾吉斯文 (吉爾吉斯)
sw-KE	斯瓦希里文 (肯亞)
tk-TM	土庫曼文 (土庫曼)
uz-Latn-UZ	烏茲別克文 (拉丁、烏茲別克)
tt-RU	韃靼文 (俄羅斯)
bn-IN	孟加拉文 (印度)
pa-IN	旁遮普語 (印度)
gu-IN	古吉拉特文 (印度)
or-IN	歐利亞文 (印度)
ta-IN	坦米爾文 (印度)
te-IN	特拉古文 (印度)
kn-IN	坎那達文 (印度)
